Município-Piauí;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
PI-SIMOES;61;48;30;18;18;58;34;33;23;8;10;11;11;10;12;4;5;5;5;5;6
PI-SIMPLICIO MENDES;13;19;14;24;5;7;17;6;12;9;5;7;8;5;6;5;6;6;1;0;0
PI-SOCORRO DO PIAUI;1;2;2;2;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;3
PI-SUSSUAPARA;95;84;66;62;61;19;69;71;109;106;98;82;70;26;28;32;43;42;28;31;41
PI-TAMBORIL DO PIAUI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;62;65
PI-TANQUE DO PIAUI;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
PI-TERESINA;20235;18746;17731;19676;21647;20633;20607;22370;23150;22673;23544;22645;22353;19969;19296;18620;17147;16460;16233;15677;15629
PI-UNIAO;2367;2584;2255;2400;2638;1587;1432;1451;1472;1430;1519;1590;1443;1660;1088;1518;1862;1507;1065;1301;822
PI-URUCUI;404;336;294;283;260;261;234;323;255;233;217;171;153;144;112;34;25;30;28;53;21
PI-VALENCA DO PIAUI;178;164;176;158;168;163;164;158;153;103;102;96;90;85;81;78;79;79;80;70;56
PI-VARZEA GRANDE;4;4;4;4;3;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2
PI-VERA MENDES;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Total;36436;33001;31269;33949;35224;32662;33010;36790;35858;35261;34687;33771;32664;30462;28570;28117;26309;26029;24933;23786;23944
